# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y	Ciudad
j01	7.127802	-73.113901	68001 - Bucaramanga
j15	k10	0	0	0	0	10	0	j15k10	Cuidados paliativos	68500 - Oiba
j16	k01	120	1	12	120	5	600	j16k01	Consulta general diagnóstico	68547 - Piedecuesta
j16	k02	40	1	4	40	10	400	j16k02	Mamografía y ecografía	68547 - Piedecuesta
j16	k03	100	1	10	100	4	400	j16k03	Consulta especializada	68547 - Piedecuesta
j16	k04	40	1	4	40	4	160	j16k04	Biopsia diagnóstico	68547 - Piedecuesta
j16	k05	50	1	5	50	4	200	j16k05	Patología diagnóstico	68547 - Piedecuesta
j16	k06	50	1	5	50	10	500	j16k06	Quimioterapia	68547 - Piedecuesta
j16	k07	50	1	5	50	10	500	j16k07	Radioterapia	68547 - Piedecuesta
j16	k08	50	1	5	50	10	500	j16k08	Hormonal	68547 - Piedecuesta
j16	k09	50	1	5	50	6	300	j16k09	Cirugía	68547 - Piedecuesta
j16	k10	100	1	10	100	10	1000	j16k10	Cuidados paliativos	68547 - Piedecuesta
j17	k01	20	1	2	20	5	100	j17k01	Consulta general diagnóstico	68573 - Puerto Parra
j17	k02	0	0	0	0	10	0	j17k02	Mamografía y ecografía	68573 - Puerto Parra
j17	k03	0	0	0	0	4	0	j17k03	Consulta especializada	68573 - Puerto Parra
j17	k04	0	0	0	0	4	0	j17k04	Biopsia diagnóstico	68573 - Puerto Parra
j17	k05	0	0	0	0	4	0	j17k05	Patología diagnóstico	68573 - Puerto Parra
j17	k06	0	0	0	0	10	0	j17k06	Quimioterapia	68573 - Puerto Parra
j17	k07	0	0	0	0	10	0	j17k07	Radioterapia	68573 - Puerto Parra
j17	k08	0	0	0	0	10	0	j17k08	Hormonal	68573 - Puerto Parra
j17	k09	0	0	0	0	0	0	j17k09	Cirugía	68573 - Puerto Parra
j17	k10	0	0	0	0	10	0	j17k10	Cuidados paliativos	68573 - Puerto Parra
j18	k01	60	1	6	60	5	300	j18k01	Consulta general diagnóstico	68575 - Puerto Wilches
j18	k02	0	0	0	0	10	0	j18k02	Mamografía y ecografía	68575 - Puerto Wilches
j18	k03	100	1	10	100	4	400	j18k03	Consulta especializada	68575 - Puerto Wilches
j18	k04	0	0	0	0	4	0	j18k04	Biopsia diagnóstico	68575 - Puerto Wilches
j18	k05	0	0	0	0	4	0	j18k05	Patología diagnóstico	68575 - Puerto Wilches
j18	k06	0	0	0	0	10	0	j18k06	Quimioterapia	68575 - Puerto Wilches
j18	k07	0	0	0	0	10	0	j18k07	Radioterapia	68575 - Puerto Wilches
j18	k08	0	0	0	0	10	0	j18k08	Hormonal	68575 - Puerto Wilches
j18	k09	0	0	0	0	0	0	j18k09	Cirugía	68575 - Puerto Wilches
j18	k10	50	1	5	50	10	500	j18k10	Cuidados paliativos	68575 - Puerto Wilches
j19	k01	60	1	6	60	5	300	j19k01	Consulta general diagnóstico	68615 - Rionegro
j19	k02	0	0	0	0	10	0	j19k02	Mamografía y ecografía	68615 - Rionegro
j19	k03	0	0	0	0	4	0	j19k03	Consulta especializada	68615 - Rionegro
j19	k04	0	0	0	0	4	0	j19k04	Biopsia diagnóstico	68615 - Rionegro
j19	k05	0	0	0	0	4	0	j19k05	Patología diagnóstico	68615 - Rionegro
j19	k06	0	0	0	0	10	0	j19k06	Quimioterapia	68615 - Rionegro
j19	k07	0	0	0	0	10	0	j19k07	Radioterapia	68615 - Rionegro
j19	k08	0	0	0	0	10	0	j19k08	Hormonal	68615 - Rionegro
j19	k09	0	0	0	0	0	0	j19k09	Cirugía	68615 - Rionegro
j19	k10	0	0	0	0	10	0	j19k10	Cuidados paliativos	68615 - Rionegro
j20	k01	20	1	2	20	3	60	j20k01	Consulta general diagnóstico	68655 - Sabana De Torres
j20	k02	0	0	0	0	10	0	j20k02	Mamografía y ecografía	68655 - Sabana De Torres
j20	k03	0	0	0	0	4	0	j20k03	Consulta especializada	68655 - Sabana De Torres
j20	k04	0	0	0	0	4	0	j20k04	Biopsia diagnóstico	68655 - Sabana De Torres
j20	k05	0	0	0	0	4	0	j20k05	Patología diagnóstico	68655 - Sabana De Torres
j20	k06	0	0	0	0	10	0	j20k06	Quimioterapia	68655 - Sabana De Torres
j20	k07	0	0	0	0	10	0	j20k07	Radioterapia	68655 - Sabana De Torres
j20	k08	0	0	0	0	10	0	j20k08	Hormonal	68655 - Sabana De Torres
j20	k09	0	0	0	0	0	0	j20k09	Cirugía	68655 - Sabana De Torres
j20	k10	0	0	0	0	10	0	j20k10	Cuidados paliativos	68655 - Sabana De Torres
j21	k01	100	1	10	100	3	300	j21k01	Consulta general diagnóstico	68679 - San Gil
j21	k02	80	1	8	80	10	800	j21k02	Mamografía y ecografía	68679 - San Gil
j21	k03	100	1	10	100	4	400	j21k03	Consulta especializada	68679 - San Gil
j21	k04	80	1	8	80	4	320	j21k04	Biopsia diagnóstico	68679 - San Gil
j21	k05	80	1	8	80	4	320	j21k05	Patología diagnóstico	68679 - San Gil
j21	k06	0	0	0	0	10	0	j21k06	Quimioterapia	68679 - San Gil
j21	k07	0	0	0	0	10	0	j21k07	Radioterapia	68679 - San Gil
j21	k08	0	0	0	0	10	0	j21k08	Hormonal	68679 - San Gil
j21	k09	0	0	0	0	0	0	j21k09	Cirugía	68679 - San Gil
